('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Navio Afundando1295368838736351805730439141957725197904', 3, 17, 9, 16, 219, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10150392001233265128699047895426996034431', 2, 31, 3, 11, 222, 'ON-HOLD')
('EVENTO:', 'Assalto010290469965055914006855421000288437464', 1, 24, 6, 14, 223, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10150392001233265128699047895426996034431', 2, 31, 3, 11, 223, 'RE-ATIVO')
('EVENTO:', 'Corrida de Rua2153237211056191666147641589901719295804', 1, 18, 9, 18, 223, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10150392001233265128699047895426996034431', 1, 31, 3, 11, 224, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio454518245747465643638419357439970571365', 1, 19, 9, 17, 225, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada945957931707056565840827997364077620787', 1, 19, 9, 17, 226, 'COMPLETO')
('EVENTO:', 'Quadrilha15296789555320208049856622265881167445360', 3, 23, 6, 19, 228, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto1181648702217269450611315629891803048406', 3, 7, 7, 26, 231, 'ATIVO')
('EVENTO:', 'Resgate16258564908635740763708073417646886968420', 1, 8, 7, 21, 234, 'ON-HOLD')
('EVENTO:', 'Tiroteio1810969793603334508993798793666359624826', 1, 42, 9, 16, 236, 'COMPLETO')
('EVENTO:', 'Resgate16258564908635740763708073417646886968420', 1, 8, 7, 21, 236, 'RE-ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio421862734319540058888620127214578146646', 1, 3, 7, 14, 237, 'ON-HOLD')
('EVENTO:', 'Mulher em Trabalho de Parto1181648702217269450611315629891803048406', 1, 7, 7, 26, 238, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio421862734319540058888620127214578146646', 1, 3, 7, 14, 238, 'RE-ATIVO')
('EVENTO:', 'Resgate16110689611548388179507483676507953238278', 3, 35, 6, 15, 240, 'ON-HOLD')
('EVENTO:', 'Ladr\xc3\xa3o101750464688786350214973006678374684795', 2, 42, 9, 16, 240, 'COMPLETO')
('EVENTO:', 'Resgate16110689611548388179507483676507953238278', 3, 35, 6, 15, 240, 'RE-ATIVO')
('EVENTO:', 'Hospital em Chamas792793273601836871296704355608877065427', 1, 31, 3, 11, 243, 'ON-HOLD')
('EVENTO:', 'Exterm\xc3\xadnio421862734319540058888620127214578146646', 1, 3, 7, 14, 244, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas792793273601836871296704355608877065427', 1, 31, 3, 11, 244, 'RE-ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14151292028799965799191275279150767927126', 3, 7, 7, 26, 246, 'ON-HOLD')
('EVENTO:', 'Corrida de Rua2281117809195448375246300887602710835310', 2, 19, 9, 17, 247, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14151292028799965799191275279150767927126', 3, 7, 7, 26, 247, 'RE-ATIVO')
('EVENTO:', 'Navio Afundando1295368838736351805730439141957725197904', 1, 17, 9, 16, 248, 'COMPLETO')
('EVENTO:', 'Resgate16258564908635740763708073417646886968420', 1, 8, 7, 21, 248, 'COMPLETO')
('EVENTO:', 'Tiroteio18334536718597441257722788654525913087871', 2, 11, 6, 25, 249, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto112373966573083735433174398992823221968', 3, 4, 11, 23, 252, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14151292028799965799191275279150767927126', 2, 7, 7, 26, 252, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio4175348110783260474262578141338175965636', 1, 22, 7, 12, 255, 'ATIVO')
('EVENTO:', 'Navio Afundando12275458596256525439873170184694760736198', 2, 18, 9, 18, 255, 'COMPLETO')
('EVENTO:', 'Fuga5289474616879338614650119204897775304647', 1, 16, 8, 22, 256, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio4336443081692070817644753592251667993063', 1, 19, 9, 17, 257, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto112373966573083735433174398992823221968', 1, 4, 11, 23, 257, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2143547976414649063120038254937547555136', 1, 43, 9, 15, 258, 'ATIVO')
('EVENTO:', 'Tiroteio18122004314383405331179070861686092783430', 1, 23, 6, 19, 261, 'ATIVO')
('EVENTO:', 'Corrida de Rua2109093893417049712827621410599463813550', 1, 1, 8, 19, 264, 'ATIVO')
('EVENTO:', 'Quadrilha1511788513761141858502812044867112047011', 2, 8, 7, 21, 267, 'ATIVO')
('EVENTO:', 'Assalto097647627674912415732501872276861678414', 1, 16, 8, 22, 267, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas792793273601836871296704355608877065427', 1, 31, 3, 11, 269, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2143547976414649063120038254937547555136', 1, 43, 9, 15, 269, 'COMPLETO')
('EVENTO:', 'Assalto0221811431452485637142414341032430201261', 1, 14, 6, 20, 270, 'ATIVO')
('EVENTO:', 'Corrida de Rua2109093893417049712827621410599463813550', 1, 1, 8, 19, 270, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio4208192089426097712921813086155271406487', 3, 3, 7, 14, 273, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio4208192089426097712921813086155271406487', 1, 3, 7, 14, 274, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10260036082200641704566954320579692379304', 2, 8, 7, 21, 276, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11291860966242185615529706925536041018500', 2, 12, 5, 19, 279, 'ATIVO')
('EVENTO:', 'Quadrilha1511788513761141858502812044867112047011', 1, 8, 7, 21, 279, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2147046948287871580383650148789366959366', 1, 12, 5, 19, 282, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o1075225035339236083702922915103911657785', 3, 36, 5, 17, 285, 'ATIVO')
