"EVENTO", "NOME", "INTENSIDADE", "PONTO", "GRAU_ATUAL", "GRAU_ORIGINAL", "RODADAS", "STATUS"
"EVENTO:", "Briga1191173854088598381392354702590220544755", 1, 43, 13, 27, 286, 1
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3201886998540459073115456376187910190252", 3, 12, 26, 37, 288, 0
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3201886998540459073115456376187910190252", 3, 12, 26, 37, 288, 1
"EVENTO:", "Ladr\xc3\xa3o10202838973606468826375451068000790747363", 1, 26, 17, 32, 291, 0
"EVENTO:", "Ladr\xc3\xa3o10202838973606468826375451068000790747363", 1, 26, 17, 32, 291, 1
"EVENTO:", "Hospital em Chamas7175772223773729215567917122398339519751", 3, 15, 13, 24, 294, 0
"EVENTO:", "Hospital em Chamas7175772223773729215567917122398339519751", 3, 15, 13, 24, 295, 1
"EVENTO:", "Golpe de Estado6149735320198765446505013233310799276879", 3, 24, 16, 26, 297, 0
"EVENTO:", "Golpe de Estado6149735320198765446505013233310799276879", 3, 24, 16, 26, 298, 1
"EVENTO:", "Ladr\xc3\xa3o10134762014531462806505100455066680866180", 1, 47, 19, 32, 300, 0
"EVENTO:", "Ladr\xc3\xa3o10134762014531462806505100455066680866180", 1, 47, 19, 32, 301, 1
"EVENTO:", "Soldado Ferido17174202358929276029100017838351888494009", 1, 72, 16, 30, 303, 0
"EVENTO:", "Soldado Ferido17174202358929276029100017838351888494009", 1, 72, 16, 30, 304, 1
"EVENTO:", "PM na \xc3\x81rea1424610697142069728277059258542478732037", 2, 2, 16, 31, 306, 0
"EVENTO:", "PM na \xc3\x81rea1424610697142069728277059258542478732037", 2, 2, 16, 31, 307, 1
"EVENTO:", "Resgate16290853477589776630132937374270407957994", 3, 16, 19, 34, 309, 0
"EVENTO:", "Resgate16290853477589776630132937374270407957994", 3, 16, 19, 34, 309, 1
"EVENTO:", "Tiroteio18291110874805030665676246974331006508402", 3, 50, 19, 30, 312, 0
"EVENTO:", "Tiroteio18291110874805030665676246974331006508402", 3, 50, 19, 30, 313, 1
"EVENTO:", "Golpe de Estado6190789291799601731957905724783538209261", 3, 68, 24, 38, 315, 0
"EVENTO:", "Golpe de Estado6190789291799601731957905724783538209261", 3, 68, 24, 38, 315, 1
"EVENTO:", "Assalto0125761092507893853793351486539422485302", 2, 19, 16, 27, 318, 0
"EVENTO:", "Assalto0125761092507893853793351486539422485302", 2, 19, 16, 27, 318, 1
"EVENTO:", "Assalto087285926397487850828154325932450232912", 2, 2, 16, 31, 321, 0
"EVENTO:", "Assalto087285926397487850828154325932450232912", 2, 2, 16, 31, 322, 1
"EVENTO:", "Exterm\xc3\xadnio4315166458877041866935102845246920211223", 2, 18, 25, 32, 324, 0
"EVENTO:", "Exterm\xc3\xadnio4315166458877041866935102845246920211223", 2, 18, 25, 32, 325, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial1378214390260393732411741622003215456495", 3, 36, 20, 24, 327, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial1378214390260393732411741622003215456495", 3, 36, 20, 24, 328, 1
"EVENTO:", "Briga1149730603332462732443247167869151472694", 1, 51, 19, 30, 330, 0
"EVENTO:", "Briga1149730603332462732443247167869151472694", 1, 51, 19, 30, 331, 1
"EVENTO:", "V\xc3\xadtima de Acidente19233174950315001600274316482387244039557", 3, 49, 21, 34, 333, 0
"EVENTO:", "V\xc3\xadtima de Acidente19233174950315001600274316482387244039557", 3, 49, 21, 34, 334, 1
"EVENTO:", "V\xc3\xadtima de Acidente19324996605017078555653552607465940680460", 2, 74, 19, 31, 336, 0
"EVENTO:", "V\xc3\xadtima de Acidente19324996605017078555653552607465940680460", 2, 74, 19, 31, 336, 1
"EVENTO:", "Corrida de Rua2312629791145766768198317127435775981116", 1, 21, 15, 23, 339, 0
"EVENTO:", "Corrida de Rua2312629791145766768198317127435775981116", 1, 21, 15, 23, 339, 1
"EVENTO:", "V\xc3\xadtima de Acidente1989088128311541038221362914345810263835", 2, 8, 11, 21, 342, 0
"EVENTO:", "V\xc3\xadtima de Acidente1989088128311541038221362914345810263835", 2, 8, 11, 21, 342, 1
"EVENTO:", "Ladr\xc3\xa3o10316489261463253743320073071744500092998", 2, 31, 14, 24, 345, 0
"EVENTO:", "Ladr\xc3\xa3o10316489261463253743320073071744500092998", 2, 31, 14, 24, 345, 1
"EVENTO:", "Ladr\xc3\xa3o1055283232694834394774395409295753199254", 2, 21, 15, 23, 348, 0
"EVENTO:", "Ladr\xc3\xa3o1055283232694834394774395409295753199254", 2, 21, 15, 23, 348, 1
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3152727650153617533616320299816732679036", 1, 40, 23, 32, 351, 0
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3152727650153617533616320299816732679036", 1, 40, 23, 32, 352, 1
"EVENTO:", "Hospital em Chamas765892058887459346898484682353060271377", 3, 36, 20, 24, 354, 0
"EVENTO:", "Hospital em Chamas765892058887459346898484682353060271377", 3, 36, 20, 24, 355, 1
"EVENTO:", "Soldado Ferido1797588193543370314084426710707381499702", 1, 17, 21, 32, 357, 0
